"","clay_summary_geo[, 1]","mean","median","var"
"271","1400000US06029005501",6.13755965997193,6,5.84139746576514
"272","1400000US06029005507",4.60002977076511,6,5.96173472843435
"273","1400000US06029006004",10.5018188688826,11,21.105153266275
"274","1400000US06029006007",10.6336082883343,11,22.7145463525299
"275","1400000US06029006301",10.0376336141077,10,2.6910959565922
"276","1400000US06029006403",7.86147836538461,8,0.864184408308478
"277","1400000US06029006500",5.26586332516247,4,12.1997752881762
"278","1400000US06031000403",9.6155005021761,10,7.21543690833727
"279","1400000US06031000900",10.5067803177063,10,11.7198726388065
"280","1400000US06031001401",14.1470274118904,14,5.39112452951898
"281","1400000US06031001602",14.8055555555556,12,79.4657338903149
"282","1400000US06031981800",20.0756143667297,24,57.1485919541052
"283","1400000US06033000100",14.1930714289657,14,10.425683388095
"284","1400000US06033000501",14.2473475033427,13,7.29806546288376
"285","1400000US06033000600",15.6373225716037,15,11.6015485179696
"286","1400000US06033001200",15.4984644563303,13,15.412355420518
"287","1400000US06033001300",15.9993462903736,15,32.6842383389059
"288","1400000US06035040100",20.3255570950599,17,115.424245354352
"289","1400000US06035040200",13.517615610367,13,23.6743053419093
"290","1400000US06035040304",14.1259603720178,13,41.2288223838691
"291","1400000US06035040400",22.3848808104996,20,164.334780885368
"292","1400000US06037101210",7.7046568627451,8,0.95438319499579
"293","1400000US06037102103",19.8348806366048,17,135.99461531421
"294","1400000US06037211922",9.27777777777778,11,44.0102222222222
"295","1400000US06037212101",7.84518828451883,9,21.5599662459126
"296","1400000US06037212102",6.77514792899408,3,15.8181882220344
"297","1400000US06037212202",7.51481481481482,9,22.5629767313782
"298","1400000US06037212203",10.5905511811024,11,47.2595925509311
"299","1400000US06037212204",10.2964285714286,11,31.6143241167435
"300","1400000US06037212303",9.56043956043956,9,33.297431849918
"301","1400000US06037212306",10.621359223301,11,34.460809850817
"302","1400000US06037212501",7.94444444444444,11,20.1277258566978
"303","1400000US06037212800",6.79637096774194,3,28.1421462517496
"304","1400000US06037213202",7.17482517482518,9,28.2474021305797
"305","1400000US06037213402",11.7914230019493,11,45.466176291423
"306","1400000US06037214901",28.1039603960396,43,300.048718767658
"307","1400000US06037216100",10.0568445475638,11,35.1059403219156
"308","1400000US06037216402",8.39464882943144,8,16.4074880474063
"309","1400000US06037217001",38.7621776504298,43,139.297735279729
"310","1400000US06037218120",6.26642335766423,8,15.1245012610256
"311","1400000US06037218400",7.21855921855922,8,5.91672114899499
"312","1400000US06037218701",8.77032810271041,3,53.568604035052
"313","1400000US06037219010",10.8719298245614,11,9.32803317608609
"314","1400000US06037219800",7.61853832442068,8,3.12922714540362
"315","1400000US06037221110",21.8471760797342,29,93.1699003322259
"316","1400000US06037221220",9.52490886998785,8,40.1791233189358
"317","1400000US06037221401",11.0143472022956,3,105.433701908013
"318","1400000US06037221710",7.93302540415704,10,16.5024484646309
"319","1400000US06037222001",11.4161184210526,11,15.4855387800225
"320","1400000US06037222500",6.05589307411908,9,24.6757042805237
"321","1400000US06037224200",8.98076923076923,11,21.2137621479163
"322","1400000US06037224420",8.23094170403587,11,28.4746359651333
"323","1400000US06037226410",8,8,0
"324","1400000US06037227020",7.74506283662478,8,0.233451300001292
"325","1400000US06037228220",8,8,0
"326","1400000US06037228500",8,8,0
"327","1400000US06037228900",8,8,0
"328","1400000US06037229410",8,8,0
